prompt,route
"Hello!","chitchat"
"How are you?","chitchat"
"How's it going?","chitchat"
"What's your favorite color?","chitchat"
"Tell me a joke.","chitchat"
"What's your favorite movie?","chitchat"
"Do you like music?","chitchat"
"What's the weather like?","chitchat"
"Have you read any good books lately?","chitchat"
"What's your favorite food?","chitchat"
"Do you have any hobbies?","chitchat"
"What's your favorite animal?","chitchat"
"Do you play any sports?","chitchat"
"What's your favorite TV show?","chitchat"
"What's the best way to spend a weekend?","chitchat"
"What's your favorite place to visit?","chitchat"
"Do you have any pets?","chitchat"
"What's your favorite holiday?","chitchat"
"What's the most interesting fact you know?","chitchat"
"What's your favorite game?","chitchat"
"What's the best gift you've ever received?","chitchat"
"What's the best gift you've ever given?","chitchat"
"What's your dream job?","chitchat"
"What's your favorite season?","chitchat"
"Do you prefer cats or dogs?","chitchat"
"What's your favorite song?","chitchat"
"What's your favorite book?","chitchat"
"What's your favorite ice cream flavor?","chitchat"
"What's your favorite drink?","chitchat"
"What's your favorite snack?","chitchat"
"Do you like to cook?","chitchat"
"What's your favorite recipe?","chitchat"
"What's your favorite dessert?","chitchat"
"What's your favorite restaurant?","chitchat"
"What's your favorite app?","chitchat"
"What's your favorite website?","chitchat"
"What's your favorite social media platform?","chitchat"
"What's your favorite podcast?","chitchat"
"What's your favorite YouTube channel?","chitchat"
"What's your favorite way to relax?","chitchat"
"What's your favorite exercise?","chitchat"
"What's your favorite outdoor activity?","chitchat"
"What's your favorite indoor activity?","chitchat"
"What's your favorite thing to do on a rainy day?","chitchat"
"What's your favorite thing to do on a sunny day?","chitchat"
"What's your favorite thing to do in the snow?","chitchat"
"What's your favorite thing to do at the beach?","chitchat"
"What's your favorite thing to do in the mountains?","chitchat"
"What's your favorite type of weather?","chitchat"
"What's your favorite type of vacation?","chitchat"
"What's your favorite type of music?","chitchat"
"What's your favorite type of movie?","chitchat"
"What's your favorite type of TV show?","chitchat"
"What's your favorite type of game?","chitchat"
"What's your favorite type of book?","chitchat"
"What's your favorite type of art?","chitchat"
"What's your favorite type of dance?","chitchat"
"What's your favorite type of exercise?","chitchat"
"What's your favorite type of food?","chitchat"
"What's your favorite type of drink?","chitchat"
"What's your favorite type of snack?","chitchat"
"What's your favorite type of dessert?","chitchat"
"What's your favorite type of restaurant?","chitchat"
"What's your favorite type of app?","chitchat"
"What's your favorite type of website?","chitchat"
"What's your favorite type of social media platform?","chitchat"
"What's your favorite type of podcast?","chitchat"
"What's your favorite type of YouTube channel?","chitchat"
"What's your favorite type of relaxation?","chitchat"
"What's your favorite type of hobby?","chitchat"
"What's your favorite type of sport?","chitchat"
"What's your favorite type of animal?","chitchat"
"What's your favorite type of pet?","chitchat"
"What's your favorite type of holiday?","chitchat"
"What's your favorite type of season?","chitchat"
"What's your favorite type of weather?","chitchat"
"What's your favorite type of exercise?","chitchat"
"What's your favorite type of activity?","chitchat"
"What's your favorite type of event?","chitchat"
"What's your favorite type of celebration?","chitchat"
"What's your favorite type of tradition?","chitchat"
"What's your favorite type of hobby?","chitchat"
"What's your favorite type of sport?","chitchat"
"What's your favorite type of game?","chitchat"
"What's your favorite type of puzzle?","chitchat"
"What's your favorite type of challenge?","chitchat"
"What's your favorite type of adventure?","chitchat"
"What's your favorite type of story?","chitchat"
"What's your favorite type of myth?","chitchat"
"What's your favorite type of legend?","chitchat"
"What's your favorite type of fairy tale?","chitchat"
"What's your favorite type of fiction?","chitchat"
"What's your favorite type of non-fiction?","chitchat"
"What's your favorite type of mystery?","chitchat"
"What's your favorite type of thriller?","chitchat"
"What's your favorite type of romance?","chitchat"
"What's your favorite type of comedy?","chitchat"
"What's your favorite type of drama?","chitchat"
"What's your favorite type of fantasy?","chitchat"
"What's your favorite type of science fiction?","chitchat"
"What's your favorite type of history?","chitchat"
"What's your favorite type of biography?","chitchat"
"What's your favorite type of memoir?","chitchat"
"What's your favorite type of self-help?","chitchat"
"What's your favorite type of travel?","chitchat"
"What's your favorite type of cooking?","chitchat"
